U_V,U_shunt_V,I_A,P_W,RL_Ohm
0.1664,0.008,0.016260162601626018,0.0027056910569105692,9.741599999999998
0.488,0.00797,0.016199186991869917,0.00790520325203252,29.632968632371394
0.835,0.00792,0.016097560975609757,0.013441463414634145,51.37921212121212
1.173,0.00788,0.016016260162601628,0.01878707317073171,72.74607106598984
1.481,0.00784,0.015934959349593495,0.023599674796747967,92.44830612244898
1.847,0.00779,0.015833333333333335,0.02924416666666667,116.16063157894735
2.091,0.00774,0.01573170731707317,0.032895,132.42427906976746
2.139,0.00772,0.015691056910569108,0.033563170731707316,135.82768911917097
2.191,0.0077,0.015650406504065042,0.03429004065040651,139.50436363636362
2.249,0.00765,0.015548780487804878,0.034969207317073175,144.149568627451
2.293,0.00761,0.015467479674796747,0.03546693089430895,147.75451773981607
2.321,0.00758,0.01540650406504065,0.03575849593495935,150.15865963060688
2.36,0.00752,0.015284552845528454,0.03607154471544715,153.91225531914895
2.373,0.00746,0.01516260162601626,0.035980853658536587,156.01148525469173
2.413,0.00743,0.015101626016260163,0.036440223577235774,159.29211843876178
2.441,0.00737,0.014979674796747968,0.036565386178861785,162.4621383989145
2.463,0.00727,0.014776422764227644,0.03639432926829269,166.1924566712517
2.504,0.00721,0.014654471544715449,0.03669479674796748,170.37734812760056
2.524,0.00715,0.014532520325203252,0.03668008130081301,173.18744055944057
2.536,0.00705,0.014329268292682927,0.036339024390243904,176.48842553191488
2.547,0.00708,0.014390243902439025,0.0366519512195122,176.5029152542373
2.653,0.00654,0.013292682926829268,0.03526548780487805,199.09148623853213
2.683,0.00623,0.01266260162601626,0.033973760162601625,211.39178812199037
