t,x1,y1,v1,x2,y2,v2
0.0,0.0,0.0,0.2,0.05,0.0,0.34396158786666037
0.05,0.010000000000000002,0.0,0.2,0.05755282581475769,0.015450849718747373,0.311921306882867
0.1,0.020000000000000004,0.0,0.2,0.06045084971874738,0.029389262614623653,0.25067359257007943
0.15000000000000002,0.030000000000000006,0.0,0.2,0.059389262614623656,0.04045084971874738,0.1883918862704185
0.2,0.04000000000000001,0.0,0.2,0.055450849718747384,0.047552825814757685,0.13391957420045678
0.25,0.05,0.0,0.2,0.05,0.05,0.10901699437494744
0.30000000000000004,0.06000000000000001,0.0,0.2,0.04454915028125263,0.047552825814757685,0.13391957420045678
0.35000000000000003,0.07,0.0,0.2,0.040610737385376364,0.04045084971874738,0.18839188627041856
0.4,0.08000000000000002,0.0,0.2,0.03954915028125264,0.029389262614623657,0.2506735925700796
0.45,0.09000000000000001,0.0,0.2,0.042447174185242326,0.015450849718747378,0.3119213068828672
0.5,0.1,0.0,0.2,0.05,6.123233995736766e-18,0.3680917043516824
0.55,0.11000000000000001,0.0,0.2,0.062447174185242336,-0.01545084971874739,0.416759047817245
0.6000000000000001,0.12000000000000002,0.0,0.2,0.07954915028125265,-0.029389262614623664,0.45622993721703803
0.65,0.13,0.0,0.2,0.10061073738537635,-0.04045084971874738,0.48527466739211317
0.7000000000000001,0.14,0.0,0.2,0.12454915028125263,-0.04755282581475768,0.503039315830305
0.75,0.15000000000000002,0.0,0.2,0.15000000000000002,-0.05,0.5090169943749474
0.8,0.16000000000000003,0.0,0.2,0.1754508497187474,-0.04755282581475769,0.5030393158303047
0.8500000000000001,0.17000000000000004,0.0,0.2,0.19938926261462372,-0.04045084971874736,0.4852746673921138
0.9,0.18000000000000002,0.0,0.2,0.2204508497187474,-0.029389262614623664,0.45622993721703714
0.9500000000000001,0.19000000000000003,0.0,0.2,0.2375528258147577,-0.015450849718747384,0.4167590478172452
1.0,0.2,0.0,0.2,0.25,-1.2246467991473533e-17,0.36809170435168226
1.05,0.21000000000000002,0.0,0.2,0.2575528258147577,0.015450849718747363,0.3119213068828673
1.1,0.22000000000000003,0.0,0.2,0.2604508497187474,0.02938926261462368,0.2506735925700796
1.1500000000000001,0.23000000000000004,0.0,0.2,0.2593892626146237,0.0404508497187474,0.1883918862704183
1.2000000000000002,0.24000000000000005,0.0,0.2,0.2554508497187474,0.0475528258147577,0.13391957420045703
1.25,0.25,0.0,0.2,0.25,0.049999999999999996,0.10901699437494683
1.3,0.26,0.0,0.2,0.24454915028125265,0.04755282581475769,0.13391957420045658
1.35,0.27,0.0,0.2,0.24061073738537636,0.040450849718747385,0.1883918862704183
1.4000000000000001,0.28,0.0,0.2,0.23954915028125265,0.029389262614623664,0.25067359257008004
1.4500000000000002,0.29000000000000004,0.0,0.2,0.24244717418524234,0.015450849718747307,0.31192130688286757
1.5,0.30000000000000004,0.0,0.2,0.25000000000000006,1.8369701987210297e-17,0.3680917043516823
1.55,0.31000000000000005,0.0,0.2,0.2624471741852424,-0.015450849718747354,0.41675904781724477
1.6,0.32000000000000006,0.0,0.2,0.27954915028125266,-0.029389262614623643,0.45622993721703764
1.6500000000000001,0.33000000000000007,0.0,0.2,0.3006107373853764,-0.04045084971874737,0.4852746673921141
1.7000000000000002,0.3400000000000001,0.0,0.2,0.32454915028125275,-0.047552825814757706,0.5030393158303044
1.75,0.35000000000000003,0.0,0.2,0.35000000000000003,-0.049999999999999996,0.5090169943749472
1.8,0.36000000000000004,0.0,0.2,0.37545084971874737,-0.04755282581475769,0.5030393158303044
1.85,0.37000000000000005,0.0,0.2,0.3993892626146237,-0.04045084971874739,0.4852746673921135
1.9000000000000001,0.38000000000000006,0.0,0.2,0.4204508497187474,-0.02938926261462367,0.456229937217038
1.9500000000000002,0.39000000000000007,0.0,0.2,0.4375528258147578,-0.015450849718747313,0.4167590478172446
2.0,0.4,0.0,0.2,0.45,-2.4492935982947065e-17,0.3968177930633031
