Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,Temperatur,
2025-12-09,13:42:56.230292,1765284176.230292,s,1.3e-05,s,24.0,°C
2025-12-09,13:43:26.231056,1765284206.231056,s,30.000777,s,24.0,°C
2025-12-09,13:43:56.230945,1765284236.230945,s,60.000666,s,25.0,°C
2025-12-09,13:44:26.231430,1765284266.23143,s,90.001151,s,24.0,°C
2025-12-09,13:44:56.231423,1765284296.231423,s,120.001144,s,24.0,°C
2025-12-09,13:45:26.231933,1765284326.231933,s,150.001654,s,24.0,°C
2025-12-09,13:45:56.231912,1765284356.231912,s,180.001633,s,25.0,°C
2025-12-09,13:46:26.232310,1765284386.23231,s,210.002031,s,26.0,°C
2025-12-09,13:46:56.232260,1765284416.23226,s,240.001981,s,26.0,°C
2025-12-09,13:47:26.232669,1765284446.232669,s,270.00239,s,27.0,°C
2025-12-09,13:47:56.232529,1765284476.232529,s,300.00225,s,28.0,°C
2025-12-09,13:48:26.233085,1765284506.233085,s,330.002806,s,28.0,°C
2025-12-09,13:48:56.233010,1765284536.23301,s,360.002731,s,28.0,°C
2025-12-09,13:49:26.233463,1765284566.233463,s,390.003184,s,29.0,°C
2025-12-09,13:49:56.233562,1765284596.233562,s,420.003283,s,29.0,°C
2025-12-09,13:50:26.233781,1765284626.233781,s,450.003502,s,30.0,°C
2025-12-09,13:50:56.234076,1765284656.234076,s,480.003797,s,30.0,°C
2025-12-09,13:51:26.234344,1765284686.234344,s,510.004065,s,31.0,°C
2025-12-09,13:51:56.234556,1765284716.234556,s,540.004277,s,31.0,°C
2025-12-09,13:52:26.234794,1765284746.234794,s,570.004515,s,31.0,°C
2025-12-09,13:52:56.235034,1765284776.235034,s,600.004755,s,32.0,°C
2025-12-09,13:53:26.235246,1765284806.235246,s,630.004967,s,33.0,°C
2025-12-09,13:53:56.235294,1765284836.235294,s,660.005015,s,33.0,°C
2025-12-09,13:54:26.235511,1765284866.235511,s,690.005232,s,34.0,°C
2025-12-09,13:54:56.235552,1765284896.235552,s,720.005273,s,34.0,°C
2025-12-09,13:55:26.235849,1765284926.235849,s,750.00557,s,35.0,°C
2025-12-09,13:55:56.235870,1765284956.23587,s,780.005591,s,35.0,°C
2025-12-09,13:56:26.236194,1765284986.236194,s,810.005915,s,36.0,°C
2025-12-09,13:56:56.236215,1765285016.236215,s,840.005936,s,36.0,°C
2025-12-09,13:57:26.236452,1765285046.236452,s,870.006173,s,36.0,°C
2025-12-09,13:57:56.236402,1765285076.236402,s,900.006123,s,36.0,°C
2025-12-09,13:58:26.236845,1765285106.236845,s,930.006566,s,36.0,°C
2025-12-09,13:58:56.236619,1765285136.236619,s,960.00634,s,36.0,°C
2025-12-09,13:59:26.237190,1765285166.23719,s,990.006911,s,37.0,°C
